league,team,Total,pick,pfref_id,FantPos
41y5ht3w,team_7,109.39577690849643,67.0,LockTy00,WR
41y5ht3w,team_7,109.39577690849643,74.0,AiyuBr00,WR
41y5ht3w,team_7,109.39577690849643,87.0,PickGe00,WR
41y5ht3w,team_7,109.39577690849643,94.0,CharZa00,RB
41y5ht3w,team_7,109.39577690849643,107.0,SmitGe00,QB
41y5ht3w,team_7,109.39577690849643,114.0,AchaDe00,RB
41y5ht3w,team_7,109.39577690849643,127.0,BigsTa00,RB
41y5ht3w,team_7,109.39577690849643,134.0,ThieAd00,WR
41y5ht3w,team_8,99.75779271773133,8.0,HillTy00,WR
41y5ht3w,team_8,99.75779271773133,13.0,DiggSt00,WR
41y5ht3w,team_8,99.75779271773133,28.0,BurrJo01,QB
41y5ht3w,team_8,99.75779271773133,33.0,SmitDe07,WR
41y5ht3w,team_8,99.75779271773133,48.0,FielJu00,QB
41y5ht3w,team_8,99.75779271773133,53.0,AkerCa00,RB
41y5ht3w,team_8,99.75779271773133,68.0,KamaAl00,RB
41y5ht3w,team_8,99.75779271773133,73.0,KirkCh01,WR
41y5ht3w,team_8,99.75779271773133,88.0,DillAJ00,RB
41y5ht3w,team_8,99.75779271773133,93.0,FreiPa00,TE
41y5ht3w,team_8,99.75779271773133,108.0,BeckOd00,WR
41y5ht3w,team_8,99.75779271773133,113.0,ToneKa00,WR
41y5ht3w,team_8,99.75779271773133,128.0,OkonCh00,TE
41y5ht3w,team_8,99.75779271773133,133.0,MostRa00,RB
41y5ht3w,team_9,97.14750167317422,9.0,LambCe00,WR
41y5ht3w,team_9,97.14750167317422,12.0,ChubNi00,RB
41y5ht3w,team_9,97.14750167317422,29.0,HarrNa00,RB
41y5ht3w,team_9,97.14750167317422,32.0,HallBr03,RB
41y5ht3w,team_9,97.14750167317422,49.0,PierDa01,RB
41y5ht3w,team_9,97.14750167317422,52.0,MoorD.00,WR
41y5ht3w,team_9,97.14750167317422,69.0,PittKy00,TE
41y5ht3w,team_9,97.14750167317422,72.0,GoedDa00,TE
41y5ht3w,team_9,97.14750167317422,89.0,BrowMa04,WR
41y5ht3w,team_9,97.14750167317422,92.0,SmitJa06,WR
41y5ht3w,team_9,97.14750167317422,109.0,SmitJu00,WR
41y5ht3w,team_9,97.14750167317422,112.0,CousKi00,QB
41y5ht3w,team_9,97.14750167317422,129.0,LazaAl00,WR
41y5ht3w,team_9,97.14750167317422,132.0,WilsRu00,QB
ti7ip7kd,team_1,97.5820472565485,1.0,HillTy00,WR
ti7ip7kd,team_1,97.5820472565485,20.0,StxxAm00,WR
ti7ip7kd,team_1,97.5820472565485,21.0,HurtJa00,QB
ti7ip7kd,team_1,97.5820472565485,40.0,HerbJu00,QB
ti7ip7kd,team_1,97.5820472565485,41.0,HallBr03,RB
ti7ip7kd,team_1,97.5820472565485,60.0,WallDa01,TE
ti7ip7kd,team_1,97.5820472565485,61.0,JeudJe00,WR
ti7ip7kd,team_1,97.5820472565485,80.0,JohnDi01,WR
ti7ip7kd,team_1,97.5820472565485,81.0,PickGe00,WR
ti7ip7kd,team_1,97.5820472565485,100.0,WillJa06,RB
ti7ip7kd,team_1,97.5820472565485,101.0,BurkTr00,WR
ti7ip7kd,team_1,97.5820472565485,120.0,HarrDa06,RB
ti7ip7kd,team_1,97.5820472565485,121.0,AchaDe00,RB
ti7ip7kd,team_1,97.5820472565485,140.0,GainKe00,RB
ti7ip7kd,team_10,101.65735193929801,10.0,KelcTr00,TE
ti7ip7kd,team_10,101.65735193929801,11.0,ChubNi00,RB
ti7ip7kd,team_10,101.65735193929801,30.0,MixoJo00,RB
ti7ip7kd,team_10,101.65735193929801,31.0,EtieTr00,RB
ti7ip7kd,team_10,101.65735193929801,50.0,MoorD.00,WR
ti7ip7kd,team_10,101.65735193929801,51.0,AkerCa00,RB
ti7ip7kd,team_10,101.65735193929801,70.0,WhitRa01,RB
ti7ip7kd,team_10,101.65735193929801,71.0,KirkCh01,WR
ti7ip7kd,team_10,101.65735193929801,90.0,RobiBr01,RB
